Entry_ID,Eye tracking,Imaging structure,Imaging function,Stimuli,Modality,Repetition of encoding trials,Delay
Duffy_2006_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Duncan_1982_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Duncan_1982_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Earhart_2014_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Earhart_2014_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Earhart_2014_Task_3,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Esposito_2017_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Esposito_2017_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Esposito_2018_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Esposito_2019_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Esposito_2019_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Fandakova_2013_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Fandakova_2017_Task_1,0.0,1.0,0.0,1.0,1.0,1.0,1.0
Fandakova_2018_Task_1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Fandakova_2018_Task_2,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Fandakova_2019_Task_1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Fandakova_2019_Task_2,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Fandakova_2019_Task_3,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Farrar_1999_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Fazio_2008_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Fazio_2008_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Finn_2019_Task_1,0.0,1.0,0.0,1.0,1.0,1.0,1.0
Fischer_2007_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Fisher_2005_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Fisher_2005_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Fisher_2005_Task_3,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Fisher_2011_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Fisher_2011b_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Fitzgerald_1991_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Fivush_1984_Task_1,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Fivush_1984_Task_2,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Fivush_1985_Task_1,0.0,0.0,0.0,1.0,1.0,0.0,1.0
Fivush_1985_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Fivush_1989_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Fivush_1989_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Fivush_1992_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Fivush_1992_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Fjell_2019_Task_1,0.0,1.0,0.0,1.0,1.0,1.0,1.0
Fjell_2019_Task_2,0.0,1.0,0.0,1.0,1.0,1.0,1.0
Flavell_1970_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
